"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Nakhon Ratchasima",2014,0,0,1,0,1,2,3,5,2,3,2,2,21
"Nakhon Ratchasima",2015,1,1,2,0,8,6,8,15,21,12,11,3,88
"Nakhon Ratchasima",2016,2,2,3,1,1,1,1,3,3,1,5,1,24
"Nakhon Ratchasima",2017,1,1,0,0,0,3,5,8,2,2,0,0,22
"Nakhon Ratchasima",2018,0,1,1,0,4,7,6,11,3,6,4,6,49
"Nakhon Ratchasima",2019,6,3,2,3,12,10,4,10,5,9,3,5,72
"Nakhon Ratchasima",2020,4,1,3,2,4,7,7,7,2,2,0,0,39
"Nakhon Sawan",2011,0,1,0,0,2,2,3,4,0,0,0,1,13
"Nakhon Sawan",2012,0,1,0,0,2,2,0,4,0,2,0,1,12
"Nakhon Sawan",2013,2,3,4,1,1,5,1,6,3,3,0,0,29
"Nakhon Sawan",2014,0,0,1,0,0,2,1,1,0,0,1,0,6
"Nakhon Sawan",2015,0,0,0,0,1,0,1,5,1,4,3,2,17
"Nakhon Sawan",2016,1,0,2,0,0,0,1,1,0,0,0,0,5
"Nakhon Sawan",2017,0,0,0,0,0,0,0,0,1,0,1,0,2
"Nakhon Sawan",2018,0,0,1,0,2,3,1,2,2,0,2,0,13
"Nakhon Sawan",2019,0,0,0,0,0,0,0,0,1,0,0,0,1
"Nakhon Sawan",2020,0,0,0,0,0,0,1,0,0,0,0,0,1
"Nakhon Si Thammarat",2011,0,5,0,3,3,1,0,0,1,6,1,0,20
"Nakhon Si Thammarat",2012,2,1,2,5,2,2,7,2,6,7,7,9,52
"Nakhon Si Thammarat",2013,14,11,3,5,4,8,6,8,2,1,1,1,64
"Nakhon Si Thammarat",2014,0,0,0,2,2,3,5,9,10,4,5,2,42
"Nakhon Si Thammarat",2015,4,1,0,0,2,4,1,4,0,1,8,19,44
"Nakhon Si Thammarat",2016,4,3,1,1,2,0,5,1,2,0,5,1,25
"Nakhon Si Thammarat",2017,0,2,1,1,1,1,3,6,2,1,0,5,23
"Nakhon Si Thammarat",2018,2,3,4,6,3,3,9,6,4,3,1,8,52
"Nakhon Si Thammarat",2019,2,4,7,7,6,15,17,21,23,13,13,3,131
"Nakhon Si Thammarat",2020,4,2,0,1,0,4,5,5,0,1,0,0,22
"Nan",2011,0,0,0,0,0,0,0,0,0,0,0,1,1
"Nan",2012,0,0,0,0,0,0,0,0,1,0,0,0,1
"Nan",2013,2,0,0,0,0,1,3,3,1,1,0,0,11
"Nan",2014,0,0,0,0,0,2,0,0,0,0,0,0,2
"Nan",2015,0,0,0,0,0,0,2,0,1,0,0,1,4
"Nan",2016,0,0,0,0,0,0,0,0,0,0,0,1,1
"Nan",2017,0,0,0,0,0,1,1,1,1,0,0,0,4
"Nan",2018,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nan",2019,0,0,0,0,0,1,1,1,0,0,0,0,3
"Nan",2020,0,0,0,0,0,0,0,1,0,0,0,0,1
"Narathiwat",2011,2,0,0,0,1,0,0,1,2,0,3,1,10
"Narathiwat",2012,4,3,0,2,0,0,0,0,0,1,0,0,10
"Narathiwat",2013,1,1,3,0,1,2,2,2,1,1,1,3,18
"Narathiwat",2014,1,0,0,0,1,1,1,2,2,2,1,0,11
"Narathiwat",2015,1,3,0,0,2,0,2,1,0,0,3,0,12
"Narathiwat",2016,1,0,0,0,1,3,3,6,7,6,6,7,40
"Narathiwat",2017,6,4,2,2,2,4,2,2,0,0,0,0,24
"Narathiwat",2018,0,0,0,1,0,0,0,2,1,2,3,2,11
"Narathiwat",2019,0,1,3,1,0,4,5,2,3,6,1,0,26
"Narathiwat",2020,0,1,1,0,0,0,2,3,0,1,1,0,9
"Nong Bua Lam Phu",2011,0,0,0,0,0,3,1,0,0,0,0,0,4
"Nong Bua Lam Phu",2012,0,1,0,0,0,2,6,3,1,0,0,1,14
"Nong Bua Lam Phu",2013,2,1,2,4,6,3,4,2,1,1,0,0,26
"Nong Bua Lam Phu",2014,0,0,0,0,0,1,0,0,0,1,0,0,2
"Nong Bua Lam Phu",2015,0,0,0,0,1,1,1,1,0,0,2,0,6
"Nong Bua Lam Phu",2016,0,0,1,0,1,1,2,0,0,0,0,0,5
"Nong Bua Lam Phu",2017,0,0,0,0,0,0,2,1,0,0,0,0,3
"Nong Bua Lam Phu",2018,0,0,0,0,1,2,4,1,0,0,0,1,9
"Nong Bua Lam Phu",2019,0,1,0,0,0,1,2,3,2,0,2,0,11
"Nong Bua Lam Phu",2020,0,0,0,1,3,2,2,0,0,0,0,0,8
"Nong Khai",2011,0,0,0,0,1,1,1,0,0,0,1,0,4
"Nong Khai",2012,0,0,1,0,1,3,2,1,1,0,0,2,11
"Nong Khai",2013,3,0,0,0,3,8,5,4,2,1,1,0,27
"Nong Khai",2014,0,0,0,0,0,0,0,0,0,1,0,0,1
"Nong Khai",2015,0,0,0,0,0,0,3,0,0,1,0,0,4
"Nong Khai",2016,1,0,0,0,0,0,3,0,1,0,0,0,5
"Nong Khai",2017,0,0,0,0,0,1,1,1,0,0,0,0,3
"Nong Khai",2018,0,0,0,0,1,0,0,0,0,1,1,0,3
"Nong Khai",2019,0,0,0,1,0,0,1,2,0,0,0,0,4
"Nong Khai",2020,1,0,0,1,1,0,1,0,0,0,0,0,4
"Nonthaburi",2011,0,0,1,0,0,3,1,3,1,0,0,0,9
"Nonthaburi",2012,0,0,0,0,0,1,0,0,0,3,1,2,7
"Nonthaburi",2013,0,0,0,1,0,0,0,2,2,3,3,1,12
"Nonthaburi",2014,3,0,1,0,0,0,0,0,0,0,1,0,5
"Nonthaburi",2015,0,0,0,0,0,0,0,2,3,2,0,1,8
"Nonthaburi",2016,0,1,0,0,0,0,0,2,2,1,0,1,7
"Nonthaburi",2017,0,1,1,1,3,1,2,2,2,4,0,1,18
"Nonthaburi",2018,2,2,0,1,3,7,1,2,2,4,3,3,30
"Nonthaburi",2019,2,1,0,0,0,0,0,2,0,2,1,0,8
"Nonthaburi",2020,0,0,0,1,0,0,1,1,0,1,0,1,5
"P.Nakhon S.Ayutthaya",2011,0,1,0,0,2,11,19,9,4,0,1,0,47
