"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Krabi",2016,26,18,27,13,15,29,45,57,31,35,30,20,346
"Krabi",2017,11,18,33,25,43,35,35,30,37,19,26,19,331
"Krabi",2018,26,30,34,50,85,65,54,39,28,27,29,22,489
"Krabi",2019,14,24,23,26,29,38,46,20,22,13,13,7,275
"Krabi",2020,17,6,5,7,16,14,16,6,3,3,4,1,98
"Lampang",2011,2,0,3,2,5,11,12,6,3,0,1,2,47
"Lampang",2012,1,1,1,1,2,7,8,13,3,8,11,4,60
"Lampang",2013,12,16,17,56,74,197,238,131,90,22,13,4,870
"Lampang",2014,5,1,0,4,4,6,11,5,5,4,1,1,47
"Lampang",2015,0,0,0,6,17,38,56,44,58,15,27,21,282
"Lampang",2016,4,3,6,5,16,8,41,50,22,6,2,2,165
"Lampang",2017,2,0,1,5,4,19,16,15,7,2,4,0,75
"Lampang",2018,1,0,1,3,8,21,16,7,4,1,2,1,65
"Lampang",2019,2,4,5,10,3,22,46,34,24,15,11,2,178
"Lampang",2020,3,1,0,2,16,16,36,34,14,5,4,2,133
"Lamphun",2011,1,0,3,3,6,13,5,6,4,2,2,0,45
"Lamphun",2012,0,1,1,0,1,2,0,1,5,4,17,6,38
"Lamphun",2013,8,7,17,18,28,61,104,66,16,6,0,0,331
"Lamphun",2014,0,1,1,1,0,1,5,2,0,0,3,0,14
"Lamphun",2015,0,0,0,0,0,2,11,9,17,31,26,3,99
"Lamphun",2016,7,4,0,4,4,6,23,46,40,17,6,7,164
"Lamphun",2017,0,0,0,0,4,8,20,25,16,5,4,1,83
"Lamphun",2018,0,0,0,0,1,5,11,5,15,5,3,5,50
"Lamphun",2019,1,0,0,0,0,9,7,13,16,10,5,0,61
"Lamphun",2020,0,0,0,1,0,2,7,7,7,5,0,0,29
"Loei",2011,0,2,1,3,19,24,24,11,10,4,4,1,103
"Loei",2012,1,4,1,7,24,39,48,24,14,17,32,12,223
"Loei",2013,35,25,27,73,131,194,174,77,23,22,9,1,791
"Loei",2014,0,0,2,3,0,4,3,4,2,1,3,1,23
"Loei",2015,0,0,0,4,19,23,48,34,34,15,14,1,192
"Loei",2016,7,4,5,4,10,40,36,34,17,13,5,1,176
"Loei",2017,2,4,4,1,10,29,21,9,8,8,6,4,106
"Loei",2018,1,2,5,2,20,32,42,18,16,12,9,10,169
"Loei",2019,10,5,8,16,60,141,138,66,54,29,14,6,547
"Loei",2020,2,1,7,5,25,58,72,30,15,6,0,0,221
"Lop Buri",2011,35,46,11,7,57,126,165,143,91,75,84,33,873
